,latitude,longitude,name,Address,Area,Cost for two,Cuisine,Hours,Ratings,Type,Votes,Food-choices
2438,22.6200645382,88.3486631513,Mirch Masala," 268/2, G.T Road, Liluah, Howrah",Liluah,250," Fast Food, Sandwich, North Indian, Chinese",                                11 AM to 10:30 PM (Mon-Sun),3,Quick Bites,10 votes,
2439,22.494651,88.361837,Bhookh Pitaara,,,,,,,,,
2440,22.4825752,88.3534161,Madhumita Restaurant," 135A, N.S.C. Bose Road, Tollygunge, Kolkata",Tollygunge,400, Chinese,                                11 AM to 10 PM (Mon-Sun),2.8,Casual Dining,27 votes,
2441,22.525832,88.371412,Lunch Box,,,,,,,,,
2442,22.5802096,88.4411701,The Royal Garden Restaurant,,,,,,,,,
2443,22.578837,88.485646,Dawat Biryani and Fast Food,,,,,,,,,
2444,22.4825752,88.3534161,Madhumita Restaurant," 135A, N.S.C. Bose Road, Tollygunge, Kolkata",Tollygunge,400, Chinese,                                11 AM to 10 PM (Mon-Sun),2.8,Casual Dining,27 votes,
2445,22.5506976198,88.3552684262,Swiss Bake," 46E, Rafi Ahmed Kidwai Road, Park Street Area, Kolkata",Park Street Area,300, Bakery,                                10 AM to 10 PM (Mon-Sun),3.1,Bakery,10 votes,
2446,22.5506976198,88.3552684262,Diet-Did I Eat That!,,,,,,,,,
2447,22.7114561,88.4770385,Planet Restaurant," 4th Floor, Near Bata Showroom, Dak Bungalow More, Barasat, Kolkata",Barasat,450," North Indian, Chinese",                                12:30 PM to 10:30 PM (Mon-Sun),2.8,Casual Dining,12 votes,
2448,22.5317187215,88.3265734836,Cocoa Bean," Ideal Towers, Flat 9A, Block B, 57, Diamond Harbour Road, Near Calcutta Medical Research Institute, Alipore, Kolkata",Alipore,400," Bakery, Desserts, Fast Food",                                11 AM to 9 PM (Mon-Sun),3.1,Bakery,14 votes,
2449,22.5317187215,88.3265734836,Le Chocolat,,,,,,,,,
2450,22.5630969,88.3527333,Tava," Hotel Shalimar, 3, S.N. Banerjee Road, Near Regal Cinema, New Market Area, Kolkata",New Market Area,800," North Indian, Chinese",                                11 AM to 10:30 PM (Mon-Sun),2.5,Casual Dining,17 votes,
